step,fair_price,submission_spot,normalizer_spot,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,lambda_hat,arb_hat,stale_hat,inventory_signed,required_no_arb_bid_bps,required_no_arb_ask_bps
0,100.0,100.0198226225385,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
1,99.83181263869632,100.0198226225385,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
2,99.67839436360673,99.67348321488248,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
3,99.8426241003642,99.67348321488248,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
4,99.81775621291175,99.37261055780354,99.38257772034693,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,63.61998559161208,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
5,99.83778655022516,99.37261055780354,99.53827319057449,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,63.61998559161208,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
6,99.88589919778433,99.19819722702125,99.23799590193681,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,80.97074325556297,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
7,99.90120370558397,99.19819722702125,99.60150009446724,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,80.97074325556297,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
8,100.04203460294946,99.23198681308949,99.74190849914062,99.85798867723838,99.00375324341938,100.04203460294944,22.99999999999999,80.97074325556297,0.8307567607808003,0.4296538000000001,0.00131239819700265,0.003144316345447055,0.0,62.689212194354525
9,100.0454739906732,99.23539835183522,99.53563504937259,99.84787868420212,98.60808192253998,100.44345975191347,19.999999999999986,80.97074325556297,0.8442962199183363,0.3866884200000001,0.0016028358500188888,0.0030765031673455753,0.0,61.34134650011447
10,100.06520297664015,99.25496759073641,99.56518802148786,99.82217115977457,99.05645765555495,100.06520297664017,19.999999999999986,80.97074325556297,0.8567525223248693,0.44801957800000014,0.00184856639584872,0.002849164763961039,0.0,56.821401743534224
11,99.91246127540013,99.25496759073641,99.5227626086364,99.82217115977457,99.05645765555495,100.06520297664017,19.999999999999986,80.97074325556297,0.8567525223248693,0.44801957800000014,0.00184856639584872,0.002849164763961039,0.0,56.821401743534224
12,99.99262688241636,99.32580463184603,99.74699999584828,99.82911770603309,99.06543866243345,100.07427544195438,16.999999999999986,80.97074325556297,0.9540056100203262,0.3824453913520001,0.002106414882703312,0.002527243958013467,0.0,50.417461934217926
13,99.95253665671771,99.32580463184603,99.74699999584828,99.82911770603309,99.06543866243345,100.07427544195438,16.999999999999986,80.97074325556297,0.9540056100203262,0.3824453913520001,0.002106414882703312,0.002527243958013467,0.0,50.417461934217926
14,100.03152588873687,99.32580463184603,99.74699999584828,99.82911770603309,99.06543866243345,100.07427544195438,16.999999999999986,80.97074325556297,0.9540056100203262,0.3824453913520001,0.002106414882703312,0.002527243958013467,0.0,50.417461934217926
15,100.05654516501023,99.48255423579066,99.99376350830212,99.96897634902805,99.31343389358982,100.29464745065407,16.999999999999986,80.97074325556297,0.9043518278853668,0.44420085221680017,0.002272686401763684,0.0024387985983920276,0.0,48.65730659670997
