step,fair_price,submission_spot,normalizer_spot,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,lambda_hat,arb_hat,stale_hat,inventory_signed
0,100.0,100.0198226225385,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095
1,99.83181263869632,100.0198226225385,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095
2,99.67839436360673,99.67348321488248,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287
3,99.8426241003642,99.67348321488248,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287
4,99.81775621291175,99.37261055780354,99.38257772034693,99.99880291759135,99.39398708188521,100.54593629128675,28.999999999999996,30.999999999999993,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987
5,99.83778655022516,99.52828941191947,99.53827319057449,99.85890254661679,99.2396573726249,99.83778655022518,28.999999999999996,30.999999999999993,0.8995182182400001,0.4662820000000001,0.0007119892776013814,0.0016581463004207014
6,99.88589919778433,99.31464071862926,99.32460206674551,99.74070425466391,99.28748177683141,99.88589919778434,28.999999999999996,30.999999999999993,1.125894273409024,0.39493688800000004,0.000851312931308219,0.002140427508197787
7,99.90120370558397,99.59150997409667,99.60150009446724,99.75723335147484,99.30269459517179,99.90120370558398,28.999999999999996,30.999999999999993,1.1158227315363023,0.4554431992000001,0.0008999930479859581,0.0008313239131260722
8,100.04203460294946,99.7319042956803,99.74190849914062,99.89699128589388,99.44268177322282,100.04203460294944,28.999999999999996,30.999999999999993,1.1065569130133983,0.5098988792800001,0.0009452298170582324,0.0008269694110797009
9,100.0454739906732,99.63040740835659,99.64040042815681,99.89113096263385,99.14118708617625,100.34626882487682,28.999999999999996,30.999999999999993,1.2744652407784147,0.3487708334275201,0.0010023241938505168,0.0013067439054748682
10,100.06520297664015,99.65502408337959,99.66501957225455,99.91974739611045,99.46571134495507,100.06520297664014,28.999999999999996,30.999999999999993,1.3949562567825906,0.3145592500644237,0.0010590132688059817,0.0013264367573537145
11,99.91246127540013,99.60999615498235,99.61998712751547,99.7799576254277,99.32112716613291,99.91974737183504,28.999999999999996,30.999999999999993,1.3633597562399835,0.3831033250579814,0.0010977613844632872,0.0008524073917612088
12,99.99262688241636,99.74548486516964,99.75549043090996,99.8435925437485,99.39357005483753,99.99262688241635,28.999999999999996,30.999999999999993,2.713945687873398,0.1483926210109263,0.0009979751882763504,0.0004915483344705204
13,99.95253665671771,99.74548486516964,99.75549043090996,99.8435925437485,99.39357005483753,99.99262688241635,28.999999999999996,30.999999999999993,2.713945687873398,0.1483926210109263,0.0009979751882763504,0.0004915483344705204
14,100.03152588873687,99.74548486516964,99.75549043090996,99.8435925437485,99.39357005483753,99.99262688241635,28.999999999999996,30.999999999999993,2.713945687873398,0.1483926210109263,0.0009979751882763504,0.0004915483344705204
15,100.05654516501023,99.94398333260705,99.95400880992,99.83788874687059,98.94471232860538,100.44623842047774,28.999999999999996,30.999999999999993,2.239660758951284,0.10150055277147359,0.0009660603362857387,-0.0005310521151500251
