step,fair_price,submission_spot,internal_pool_price_y_per_x,internal_pool_bid_side_price_y_per_x,internal_pool_ask_side_price_y_per_x,normalizer_spot,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,lambda_hat,arb_hat,stale_hat,inventory_signed,required_no_arb_bid_bps,required_no_arb_ask_bps
0,100.0,100.0198226225385,100.0198226225385,99.72976513693314,100.31072372133036,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
1,99.83181263869632,100.0198226225385,100.0198226225385,99.72976513693314,100.31072372133036,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
2,99.67839436360673,99.67348321488248,99.67348321488248,99.38443011355932,99.96337700820628,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
3,99.8426241003642,99.67348321488248,99.67348321488248,99.38443011355932,99.96337700820628,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
4,99.81775621291175,99.37261055780354,99.37261055780354,99.11424177035325,100.35224906861998,99.38257772034693,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,97.61998559161208,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
5,99.83778655022516,99.37261055780354,99.37261055780354,99.11424177035325,100.35224906861998,99.53827319057449,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,97.61998559161208,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
6,99.88589919778433,99.19819722702125,99.19819722702125,98.97004137339911,100.35195106715491,99.23799590193681,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
7,99.90120370558397,99.19819722702125,99.19819722702125,98.97004137339911,100.35195106715491,99.60150009446724,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
8,100.04203460294946,99.19819722702125,99.19819722702125,98.97004137339911,100.35195106715491,99.74190849914062,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
9,100.0454739906732,99.19819722702125,99.19819722702125,98.97004137339911,100.35195106715491,99.53563504937259,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
10,100.06520297664015,99.19819722702125,99.19819722702125,98.97004137339911,100.35195106715491,99.56518802148786,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,114.97074325556297,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
