step,fair_price,submission_spot,normalizer_spot,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,lambda_hat,arb_hat,stale_hat,inventory_signed
0,100.0,100.0,100.02961315488068,100.0,99.7,100.29999999999998,73.92989014721978,73.92989014721978,1.1876540458366056,0.5,0.0,0.0
1,99.83181263869632,100.0,100.02961315488068,100.0,99.7,100.29999999999998,73.92989014721978,73.92989014721978,1.1876540458366056,0.5,0.0,0.0
2,99.67839436360673,99.91494946960555,99.4747034561387,99.9998395095417,99.7,100.29999999999998,73.36175901792929,73.34861198990795,1.1721348146015327,0.4483635355307939,3.6498769697936174e-05,0.0004246311159351052
3,99.8426241003642,99.91494946960555,99.54309622806309,99.9998395095417,99.7,100.29999999999998,73.36175901792929,73.34861198990795,1.1721348146015327,0.4483635355307939,3.6498769697936174e-05,0.0004246311159351052
4,99.81775621291175,99.64529253198766,99.2119128768178,99.2781713949194,99.59116245450143,100.3815774696634,73.55568206678021,73.61282192391565,1.116548399917851,0.5053326489257592,0.00019356196169589536,-0.0018455396352999604
5,99.83778655022516,99.64529253198766,99.53827319057446,99.2781713949194,99.59116245450143,100.3815774696634,73.55568206678021,73.61282192391565,1.116548399917851,0.5053326489257592,0.00019356196169589536,-0.0018455396352999604
6,99.88589919778433,99.57202790091493,99.13703014865847,99.52989165370744,99.46976516213388,100.50408757802182,73.4176594103387,73.4242117466411,1.0655590533078085,0.4531454661829897,0.0002034338341580309,-0.00021163154680651933
7,99.90120370558397,99.57202790091493,99.60150009446721,99.52989165370744,99.46976516213388,100.50408757802182,73.4176594103387,73.4242117466411,1.0655590533078085,0.4531454661829897,0.0002034338341580309,-0.00021163154680651933
8,100.04203460294946,99.57202790091493,99.74190849914062,99.52989165370744,99.46976516213388,100.50408757802182,73.4176594103387,73.4242117466411,1.0655590533078085,0.4531454661829897,0.0002034338341580309,-0.00021163154680651933
9,100.0454739906732,99.57202790091493,99.53563504937262,99.52989165370744,99.46976516213388,100.50408757802182,73.4176594103387,73.4242117466411,1.0655590533078085,0.4531454661829897,0.0002034338341580309,-0.00021163154680651933
10,100.06520297664015,99.57202790091493,99.56518802148786,99.52989165370744,99.46976516213388,100.50408757802182,73.4176594103387,73.4242117466411,1.0655590533078085,0.4531454661829897,0.0002034338341580309,-0.00021163154680651933
11,99.91246127540013,99.57202790091493,99.52276260863641,99.52989165370744,99.46976516213388,100.50408757802182,73.4176594103387,73.4242117466411,1.0655590533078085,0.4531454661829897,0.0002034338341580309,-0.00021163154680651933
12,99.99262688241636,99.57202790091493,99.81825180987262,99.52989165370744,99.46976516213388,100.50408757802182,73.4176594103387,73.4242117466411,1.0655590533078085,0.4531454661829897,0.0002034338341580309,-0.00021163154680651933
13,99.95253665671771,99.57202790091493,99.81825180987262,99.52989165370744,99.46976516213388,100.50408757802182,73.4176594103387,73.4242117466411,1.0655590533078085,0.4531454661829897,0.0002034338341580309,-0.00021163154680651933
14,100.03152588873687,99.57202790091493,99.81825180987262,99.52989165370744,99.46976516213388,100.50408757802182,73.4176594103387,73.4242117466411,1.0655590533078085,0.4531454661829897,0.0002034338341580309,-0.00021163154680651933
15,100.05654516501023,99.67455858266138,100.11058901550894,99.69217464713569,99.21955590315821,100.75753613509325,73.59153979829374,73.58880407623668,0.9866249794339756,0.4063478066551101,0.000202285761545341,8.836009994710405e-05
16,99.97388834514528,99.67455858266138,100.11058901550894,99.69217464713569,99.21955590315821,100.75753613509325,73.59153979829374,73.58880407623668,0.9866249794339756,0.4063478066551101,0.000202285761545341,8.836009994710405e-05
17,100.07719565982246,100.04997019831889,99.62919428144619,100.53822742938321,99.31368706195212,100.79168414804735,73.56024211848238,73.4848789617618,0.9463804670019107,0.46765600743254954,0.0004028156624201488,0.0024341274154650863
18,100.13557486812107,99.7359859950622,99.30476626781503,99.51866026406888,99.2206521792611,100.51910061593493,72.20888793909775,72.24265695973394,0.9548825448966156,0.46865891788435693,0.0006505757768334873,-0.0010906934170593708
19,100.11344546636744,99.7359859950622,99.86733867300556,99.51866026406888,99.2206521792611,100.51910061593493,72.20888793909775,72.24265695973394,0.9548825448966156,0.46865891788435693,0.0006505757768334873,-0.0010906934170593708
20,100.0115430175656,99.7359859950622,99.86733867300556,99.51866026406888,99.2206521792611,100.51910061593493,72.20888793909775,72.24265695973394,0.9548825448966156,0.46865891788435693,0.0006505757768334873,-0.0010906934170593708
21,99.98132429804349,99.7359859950622,99.77695354406453,99.51866026406888,99.2206521792611,100.51910061593493,72.20888793909775,72.24265695973394,0.9548825448966156,0.46865891788435693,0.0006505757768334873,-0.0010906934170593708
22,99.88417390966177,100.4758719281748,100.90339726385069,100.8769955907739,99.75034683051034,100.73591842893377,70.55533507920359,70.49365623359913,0.8965878507478818,0.5235320676997448,0.0007938489457051345,0.0019921427866496787
23,99.92738125027716,100.4758719281748,100.228065446617,100.8769955907739,99.75034683051034,100.73591842893377,70.55533507920359,70.49365623359913,0.8965878507478818,0.5235320676997448,0.0007938489457051345,0.0019921427866496787
24,99.75791687241569,100.46676348864212,100.05809114585323,100.65003981971907,99.58625865496418,100.90190089770228,70.03926224987043,70.01104765631342,0.8637895248000571,0.4694653776752091,0.0008380610278344688,0.0009112929803082609
25,100.03476597428987,100.46676348864212,100.08746109149452,100.65003981971907,99.58625865496418,100.90190089770228,70.03926224987043,70.01104765631342,0.8637895248000571,0.4694653776752091,0.0008380610278344688,0.0009112929803082609
26,100.12666195291955,100.80445468443776,101.2115909388633,100.93112912243966,100.03432590373235,101.06970906270065,69.76487273019285,69.74543156680087,0.8061059400281044,0.47011386767059116,0.0009856523043793675,0.0006279231239797536
27,99.99357893239292,100.69608388002479,100.29446231935096,100.79528102699122,99.90979054480938,101.19569023457308,69.14921059058459,69.13396800942097,0.8221412284675077,0.4215638316216841,0.0009856083404773247,0.0004923146310126457
28,100.0667984022594,100.69608388002479,100.30847235604338,100.79528102699122,99.90979054480938,101.19569023457308,69.14921059058459,69.13396800942097,0.8221412284675077,0.4215638316216841,0.0009856083404773247,0.0004923146310126457
29,100.06716708468291,100.69608388002479,100.4043608886838,100.79528102699122,99.90979054480938,101.19569023457308,69.14921059058459,69.13396800942097,0.8221412284675077,0.4215638316216841,0.0009856083404773247,0.0004923146310126457
30,99.9609806902627,100.65701601001231,100.2617659882274,100.70797903209912,99.69801995022416,101.41064206111022,69.13656923011682,69.12873336464368,0.7817161860960693,0.37802769999561314,0.0009650037455439912,0.00025308779252394305
31,99.9593766071862,100.65527262963974,100.26015707842147,100.6518527590502,99.57951736147716,101.53132374273672,68.79763310387627,68.79815908032514,0.7997685385926332,0.33898767219721476,0.0009249909670086,-1.6988323602233193e-05
32,99.93533851370407,100.62763280992093,100.33265126411477,100.61576012936983,99.46612666103589,101.64706875365036,68.48783691983559,68.4896635176153,0.8163279382914985,0.30397942241539405,0.0008903086026018245,-5.8996622834124135e-05
33,99.76435864217486,100.42535094463018,100.03987746747619,100.16002784131162,99.76435864217486,101.14507416524492,67.4403292742035,67.48128282561926,0.8454515447164629,0.3370433940033915,0.0011154276092606931,-0.0013227439852518893
34,99.71639940972189,100.3934561839238,100.49446530322315,100.26418303845313,99.64117671407544,101.27011529446789,66.96331775574686,66.98326433336706,0.8582329009823276,0.30223593552531797,0.0011228655233500452,-0.0006442473158344311
35,99.78298073759346,100.3934561839238,100.15637976598987,100.26418303845313,99.64117671407544,101.27011529446789,66.96331775574686,66.98326433336706,0.8582329009823276,0.30223593552531797,0.0011228655233500452,-0.0006442473158344311
36,99.81760794956308,100.44471062016343,100.81869300463033,100.33124914328401,99.46864452766093,101.44577220115616,66.88784296378547,66.90533951672701,0.8286065787702472,0.2710231452331773,0.0011231820191652342,-0.0005651148524608387
37,99.79267885731696,100.44471062016343,100.09295773050846,100.33124914328401,99.46864452766093,101.44577220115616,66.88784296378547,66.90533951672701,0.8286065787702472,0.2710231452331773,0.0011231820191652342,-0.0005651148524608387
38,99.7554356748064,100.40038468049946,100.02820343827818,100.40220441601721,99.29850428567323,101.61959161923397,67.14308198552935,67.14280140680451,0.7765017100180948,0.21793497976508264,0.0010511033870503536,9.062311028693807e-06
39,99.81790572786922,100.40038468049946,100.02820343827818,100.40220441601721,99.29850428567323,101.61959161923397,67.14308198552935,67.14280140680451,0.7765017100180948,0.21793497976508264,0.0010511033870503536,9.062311028693807e-06
40,99.67022798737001,100.02181554619605,99.71812207350897,100.4389900596705,99.14048914677835,101.78155807736171,66.25219613359783,66.18776376892004,0.7134175711758596,0.15714761159242865,0.0012150556218342178,0.002081077706006473
41,99.77042467088437,99.91074896500236,99.54746069345431,100.44375252951498,99.02006484737409,101.90534079597164,65.02704177642727,64.94467600268987,0.7371183070752778,0.14091851746760256,0.001391500468485571,0.0026603024166503004
42,99.79749882275844,99.28149856384906,98.93269844370634,98.89827117780206,98.88737352348244,99.93049391888411,65.13714640171017,65.19701691630226,0.7588589615960898,0.2296383783654767,0.0014979105891584916,-0.00193373615554487
43,99.6365310168946,99.28149856384906,99.33762142384388,98.89827117780206,98.88737352348244,99.93049391888411,65.13714640171017,65.19701691630226,0.7588589615960898,0.2296383783654767,0.0014979105891584916,-0.00193373615554487
44,99.80715628048948,99.28149856384906,99.50773481164799,98.89827117780206,98.88737352348244,99.93049391888411,65.13714640171017,65.19701691630226,0.7588589615960898,0.2296383783654767,0.0014979105891584916,-0.00193373615554487
45,99.86164820811699,99.28149856384906,99.56206326349262,98.89827117780206,98.88737352348244,99.93049391888411,65.13714640171017,65.19701691630226,0.7588589615960898,0.2296383783654767,0.0014979105891584916,-0.00193373615554487
46,99.90521017802705,99.4415608331759,99.79386236394488,99.87131409802522,98.79382688253538,100.09414479833991,63.72791943255495,63.66116200321944,0.7167756702082501,0.30919587937341886,0.001618867045618726,0.002156174130736317
47,99.81547889023129,99.4415608331759,99.63947970712913,99.87131409802522,98.79382688253538,100.09414479833991,63.72791943255495,63.66116200321944,0.7167756702082501,0.30919587937341886,0.001618867045618726,0.002156174130736317
48,99.95381959097979,99.8179876133411,100.15613927127771,100.21317278586679,99.18186834608683,100.30611867859976,64.08076642491528,64.01959920238895,0.6988480431373738,0.3805372442332502,0.0017191055594988041,0.0019756180573916393
49,100.06466462591301,99.8179876133411,100.15613927127771,100.21317278586679,99.18186834608683,100.30611867859976,64.08076642491528,64.01959920238895,0.6988480431373738,0.3805372442332502,0.0017191055594988041,0.0019756180573916393
50,100.05896070943422,99.8179876133411,100.15613927127771,100.21317278586679,99.18186834608683,100.30611867859976,64.08076642491528,64.01959920238895,0.6988480431373738,0.3805372442332502,0.0017191055594988041,0.0019756180573916393
51,100.19671398514092,99.94647003764884,100.17997267282304,100.36826377993287,99.30600539750108,100.57814059515032,64.4288060010333,64.36361269404973,0.6686195059588643,0.4445109773895428,0.0018262133785191257,0.0021056551070684866
52,100.2171072035316,99.94647003764884,100.06519773210618,100.36826377993287,99.30600539750108,100.57814059515032,64.4288060010333,64.36361269404973,0.6686195059588643,0.4445109773895428,0.0018262133785191257,0.0021056551070684866
53,100.09681750002837,99.94647003764884,100.18703849465325,100.36826377993287,99.30600539750108,100.57814059515032,64.4288060010333,64.36361269404973,0.6686195059588643,0.4445109773895428,0.0018262133785191257,0.0021056551070684866
54,100.14701855631931,99.94647003764884,99.98480084897471,100.36826377993287,99.30600539750108,100.57814059515032,64.4288060010333,64.36361269404973,0.6686195059588643,0.4445109773895428,0.0018262133785191257,0.0021056551070684866
55,100.22188389555184,99.91605606515562,99.5710219116295,100.2153333607329,98.98138857075989,100.90799408893301,63.98700786891534,63.940708578640034,0.6339991337546622,0.3986050268092484,0.001876264297638025,0.0014954040764709818
56,100.2127152930151,99.91605606515562,99.86946126806824,100.2153333607329,98.98138857075989,100.90799408893301,63.98700786891534,63.940708578640034,0.6339991337546622,0.3986050268092484,0.001876264297638025,0.0014954040764709818
57,100.1848701987326,99.91605606515562,99.8843155881364,100.2153333607329,98.98138857075989,100.90799408893301,63.98700786891534,63.940708578640034,0.6339991337546622,0.3986050268092484,0.001876264297638025,0.0014954040764709818
58,100.22345094528544,99.91605606515562,99.57849234297906,100.2153333607329,98.98138857075989,100.90799408893301,63.98700786891534,63.940708578640034,0.6339991337546622,0.3986050268092484,0.001876264297638025,0.0014954040764709818
59,100.29814045087936,99.91605606515562,100.23404579931469,100.2153333607329,98.98138857075989,100.90799408893301,63.98700786891534,63.940708578640034,0.6339991337546622,0.3986050268092484,0.001876264297638025,0.0014954040764709818
60,100.16703963150626,99.91605606515562,100.23404579931469,100.2153333607329,98.98138857075989,100.90799408893301,63.98700786891534,63.940708578640034,0.6339991337546622,0.3986050268092484,0.001876264297638025,0.0014954040764709818
