step,fair_price,submission_spot,internal_pool_price_x_per_y,normalizer_spot,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,lambda_hat,arb_hat,stale_hat,inventory_signed,required_no_arb_bid_bps,required_no_arb_ask_bps
0,100.0,100.0198226225385,0.009998018130604639,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
1,99.83181263869632,100.0198226225385,0.009998018130604639,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
2,99.67839436360673,99.67348321488248,0.010032758640973105,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
3,99.8426241003642,99.67348321488248,0.010032758640973105,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
4,99.81775621291175,99.37261055780354,0.010063135046837831,99.38257772034693,99.99880291759135,99.39398708188521,100.54593629128675,0.0,97.61998559161208,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
5,99.83778655022516,99.37261055780354,0.010063135046837831,99.53827319057449,99.99880291759135,99.39398708188521,100.54593629128675,0.0,97.61998559161208,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
6,99.88589919778433,99.06879039462903,0.010093996262764651,99.36689106783255,99.9978877678998,99.02176697320112,100.92388571067264,0.0,100.0,0.8595182182400002,0.36628200000000005,0.0010730876673886386,0.004667267178247696,0.0,92.91169983782544
7,99.90120370558397,99.06879039462903,0.010093996262764651,99.60150009446721,99.9978877678998,99.02176697320112,100.92388571067264,0.0,100.0,0.8595182182400002,0.36628200000000005,0.0010730876673886386,0.004667267178247696,0.0,92.91169983782544
8,100.04203460294946,99.06879039462903,0.010093996262764651,99.74190849914059,99.9978877678998,99.02176697320112,100.92388571067264,0.0,100.0,0.8595182182400002,0.36628200000000005,0.0010730876673886386,0.004667267178247696,0.0,92.91169983782544
9,100.0454739906732,99.06879039462903,0.010093996262764651,99.5356350493726,99.9978877678998,99.02176697320112,100.92388571067264,0.0,100.0,0.8595182182400002,0.36628200000000005,0.0010730876673886386,0.004667267178247696,0.0,92.91169983782544
10,100.06520297664015,99.06879039462903,0.010093996262764651,99.56518802148787,99.9978877678998,99.02176697320112,100.92388571067264,0.0,100.0,0.8595182182400002,0.36628200000000005,0.0010730876673886386,0.004667267178247696,0.0,92.91169983782544
11,99.91246127540013,99.06879039462903,0.010093996262764651,99.5227626086364,99.9978877678998,99.02176697320112,100.92388571067264,0.0,100.0,0.8595182182400002,0.36628200000000005,0.0010730876673886386,0.004667267178247696,0.0,92.91169983782544
12,99.99262688241636,99.13734230213747,0.01008701642366339,99.74910034746623,99.996770466895,98.1490536856356,101.82127201023448,0.0,100.0,0.8618569400756909,0.25053688800000007,0.0017291961813891115,0.004315825916548701,0.0,85.94559211710262
13,99.95253665671771,99.13734230213747,0.01008701642366339,99.74910034746623,99.996770466895,98.1490536856356,101.82127201023448,0.0,100.0,0.8618569400756909,0.25053688800000007,0.0017291961813891115,0.004315825916548701,0.0,85.94559211710262
14,100.03152588873687,99.13734230213747,0.01008701642366339,99.74910034746623,99.996770466895,98.1490536856356,101.82127201023448,0.0,100.0,0.8618569400756909,0.25053688800000007,0.0017291961813891115,0.004315825916548701,0.0,85.94559211710262
15,100.05654516501023,99.29267351265676,0.010071236523533941,99.99474292133212,100.05400019954972,99.29267351265678,100.29562981076442,0.0,100.0,0.8195750515363023,0.3254831992000001,0.002083739725425405,0.003819109056176497,0.0,76.09157908474829
16,99.97388834514528,99.29267351265676,0.010071236523533941,99.99474292133212,100.05400019954972,99.29267351265678,100.29562981076442,0.0,100.0,0.8195750515363023,0.3254831992000001,0.002083739725425405,0.003819109056176497,0.0,76.09157908474829
17,100.07719565982246,99.4406669414452,0.01005624791906154,99.73988660124897,100.04412834065,98.53915281486277,101.0625821419123,0.0,95.3195219163688,0.9273270569824505,0.22263050825280004,0.0022366015212005284,0.0030250997242743014,0.0,60.3195219163688
18,100.13557486812107,99.06683086818758,0.01009419592043416,99.36492564512295,100.18259537661505,99.60000468182479,100.55852372240835,0.0,100.0,1.5097629189506732,0.17349224341013555,0.002807892686407881,0.005599837999315571,0.0,111.37308873192976
19,100.11344546636744,99.13918813674017,0.010086828617364964,99.84017229528277,100.03898395467223,99.11231101170378,100.11344546636745,0.0,100.0,1.5638058706390032,0.19466869449253274,0.0032789302093225643,0.004517542301367679,0.0,89.94451786313084
20,100.0115430175656,99.13918813674017,0.010086828617364964,99.84017229528277,100.03898395467223,99.11231101170378,100.11344546636745,0.0,100.0,1.5638058706390032,0.19466869449253274,0.0032789302093225643,0.004517542301367679,0.0,89.94451786313084
21,99.98132429804349,99.13918813674017,0.010086828617364964,99.74982403596483,100.03898395467223,99.11231101170378,100.11344546636745,0.0,100.0,1.5638058706390032,0.19466869449253274,0.0032789302093225643,0.004517542301367679,0.0,89.94451786313084
22,99.88417390966177,100.0210143993154,0.009997899001580657,100.72823369304795,100.0261364133198,97.85881566016546,101.39582087293657,0.0,100.0,1.4653680676545497,0.17520182504327947,0.003085266880815913,2.560403376697952e-05,0.0,0.5120675643432993
23,99.92738125027716,99.92738125027715,0.010007267152287416,100.22806544661704,100.16627107567345,99.92738125027716,100.9367487376537,0.0,100.0,1.428138622242186,0.25768164253895154,0.0030434177449249395,0.001193890074069627,0.0,23.849328005413064
24,99.75791687241569,99.75791687241566,0.010024267059214352,100.05809114585328,100.02613641331982,99.75791687241568,100.76557259839967,0.0,100.0,1.393887532462811,0.3319134782850564,0.0030219184527727453,0.0013425472979093453,0.0,26.814945625394103
25,100.03476597428987,99.75791687241566,0.010024267059214352,100.08746109149456,100.02613641331982,99.75791687241568,100.76557259839967,0.0,100.0,1.393887532462811,0.3319134782850564,0.0030219184527727453,0.0013425472979093453,0.0,26.814945625394103
26,100.12666195291955,100.29672608993644,0.009970415176895168,101.00589486026935,100.03497522406603,98.81708410424224,101.72495683305615,0.0,100.0,1.3394536932953134,0.2270288191469786,0.002860562574060576,-0.0013065873456550138,26.097648056397915,0.0
27,99.99357893239292,99.99357893239292,0.010000642147993465,100.29446231935097,100.1751222694208,99.99357893239292,101.00361508322517,0.0,100.0,1.3122973978316885,0.30432593723228074,0.0027977630493729935,0.0009069516659592728,0.0,18.12259699964347
28,100.0667984022594,99.99357893239292,0.010000642147993465,100.3084723560434,100.1751222694208,99.99357893239292,101.00361508322517,0.0,100.0,1.3122973978316885,0.30432593723228074,0.0027977630493729935,0.0009069516659592728,0.0,18.12259699964347
29,100.06716708468291,99.99357893239292,0.010000642147993465,100.4043608886838,100.1751222694208,99.99357893239292,101.00361508322517,0.0,100.0,1.3122973978316885,0.30432593723228074,0.0027977630493729935,0.0009069516659592728,0.0,18.12259699964347
30,99.9609806902627,99.96098069026269,0.010003903454074568,100.26176598822738,100.2023856601054,99.96098069026269,100.9706875659219,0.0,100.0,1.23398027267182,0.3738933435090527,0.0027746221027009827,0.0012060397176781718,0.0,24.091738759751678
31,99.9593766071862,99.9593766071862,0.010004063990212088,100.26015707842147,100.21024109551323,99.35685814793602,101.58462272459985,0.0,100.0,1.2152618508580746,0.33650400915814743,0.0027585360032678346,0.0012532595665922807,0.0,25.033817460624608
32,99.93533851370407,99.93533851370405,0.010006470332442721,100.33265126411476,100.17668155789528,99.93533851370405,100.94478637747885,0.0,100.0,1.1980409027894288,0.40285360824233274,0.0027377486793621667,0.0012060397176784448,0.0,24.09173875975723
33,99.76435864217486,99.73861367023068,0.010026207134844842,100.03872985981012,100.03837359404567,99.76435864217484,100.77207943654024,0.0,100.0,1.3401141518416941,0.35155186803775557,0.0026627621951367457,0.001500472741730043,0.0,29.964493928242852
34,99.71639940972189,99.75257622664627,0.010024803747703875,100.45789747269323,99.95930331499035,99.71639940972187,100.72363576739583,0.0,100.0,1.4420659153615998,0.3164614777378248,0.0025509656427708085,0.0010351266475411558,0.0,20.681125366854847
35,99.78298073759346,99.75257622664627,0.010024803747703875,100.1563797659899,99.95930331499035,99.71639940972187,100.72363576739583,0.0,100.0,1.4420659153615998,0.3164614777378248,0.0025509656427708085,0.0010351266475411558,0.0,20.681125366854847
36,99.81760794956308,99.95683804013683,0.010004318059745531,100.66360356163273,99.96707700032142,98.95000793368888,101.50376441517639,0.0,100.0,1.366700642132672,0.2848153299640423,0.002404053418302733,5.121428410664604e-05,0.0,1.024233226761817
37,99.79267885731696,99.79267885731696,0.010020775185620525,100.09295773050849,100.03367737957767,99.79267885731697,100.8006857144616,0.0,100.0,1.3373645907620584,0.3563337969676381,0.0024045350494949916,0.0012060397176786057,0.0,24.09173875976056
38,99.7554356748064,99.72842845918296,0.010027231106015892,100.02851400118655,99.99843467036379,99.75543567480638,100.76306633818827,0.0,100.0,1.4400928303308531,0.31973231712586453,0.0023418012028740727,0.0013518772935701118,0.0,27.001043773421387
39,99.81790572786922,99.72842845918296,0.010027231106015892,100.02851400118655,99.99843467036379,99.75543567480638,100.76306633818827,0.0,100.0,1.4400928303308531,0.31973231712586453,0.0023418012028740727,0.0013518772935701118,0.0,27.001043773421387
40,99.67022798737001,99.35079482431335,0.010065344738996266,99.71648948754992,99.91509138530742,99.67022798737001,100.67699796704042,0.0,91.47761045605492,1.5766362797354279,0.22396964773470943,0.002345229527469252,0.0028318774062532446,0.0,56.477610456054926
41,99.77042467088437,99.24365548502689,0.010076210868218898,99.54228233202296,99.9227994679689,99.1810734356341,101.17353032049034,0.0,100.0,1.5305053773565938,0.20157268296123848,0.0026137091305184954,0.003409931572574798,0.0,67.96686907873494
42,99.79749882275844,98.62371192465774,0.010139549409415218,98.92047334469183,99.93027687630872,98.64269635626806,101.72572031301011,0.0,100.0,1.4880649471680665,0.18141541466511463,0.003246546152168701,0.0065804014290576935,0.0,130.74765651537425
43,99.6365310168946,98.64016570672564,0.010137858070648155,99.33762142384393,99.79047237466777,98.64016570672565,99.6365310168946,0.0,100.0,1.4490197513946212,0.2632738731986032,0.003747403751258938,0.0057970214633401365,0.0,115.27219388472676
