step,fair_price,submission_spot,internal_pool_price_y_per_x,normalizer_spot,internal_price_estimate,p_low,p_high,bid_fee_bps,ask_fee_bps,lambda_hat,arb_hat,stale_hat,inventory_signed,required_no_arb_bid_bps,required_no_arb_ask_bps
0,100.0,100.0198226225385,100.0198226225385,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
1,99.83181263869632,100.0198226225385,100.0198226225385,100.00979155016637,100.14009804574935,99.72976513693314,100.29999999999998,28.999999999999996,28.999999999999996,0.8160000000000001,0.55,7.210760513024374e-05,0.0006008966370954095,0.0,12.010715543329109
2,99.67839436360673,99.67348321488248,99.67348321488248,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
3,99.8426241003642,99.67348321488248,99.67348321488248,99.68348055522502,99.99974637964928,99.67839436360673,100.25905369640428,28.999999999999996,28.999999999999996,0.9247616000000001,0.45220000000000005,0.000179633755413985,0.001633985514379287,0.0,32.626399223868454
4,99.81775621291175,99.37261055780354,99.37261055780354,99.38257772034693,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,97.61998559161208,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
5,99.83778655022516,99.37261055780354,99.37261055780354,99.53827319057449,99.99880291759135,99.39398708188521,100.54593629128675,25.999999999999993,97.61998559161208,0.8907806720000001,0.40698000000000006,0.0005457569565862114,0.003140833226148987,0.0,62.61998559161208
6,99.88589919778433,99.19819722702125,99.19819722702127,99.23799590193681,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
7,99.90120370558397,99.19819722702125,99.19819722702127,99.60150009446724,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
8,100.04203460294946,99.19819722702125,99.19819722702127,99.74190849914062,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
9,100.0454739906732,99.19819722702125,99.19819722702127,99.53563504937259,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
10,100.06520297664015,99.19819722702125,99.19819722702127,99.56518802148786,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
11,99.91246127540013,99.19819722702125,99.19819722702127,99.5227626086364,99.9978877678998,99.02176697320112,100.92388571067264,22.99999999999999,100.0,0.8595182182400002,0.36628200000000005,0.0009947648851722926,0.004014589648681745,0.0,79.97074325556297
12,99.99262688241636,99.20217154711172,99.20217154711172,99.8142440405246,99.99700008070101,98.18672087073445,101.78221050919036,22.99999999999999,100.0,0.8040900941141336,0.32965380000000005,0.0014138958939420108,0.003990119673159938,0.0,79.48523785191952
13,99.95253665671771,99.20217154711172,99.20217154711172,99.8142440405246,99.99700008070101,98.18672087073445,101.78221050919036,22.99999999999999,100.0,0.8040900941141336,0.32965380000000005,0.0014138958939420108,0.003990119673159938,0.0,79.48523785191952
14,100.03152588873687,99.20217154711172,99.20217154711172,99.8142440405246,99.99700008070101,98.18672087073445,101.78221050919036,22.99999999999999,100.0,0.8040900941141336,0.32965380000000005,0.0014138958939420108,0.003990119673159938,0.0,79.48523785191952
15,100.05654516501023,99.35388536102582,99.35388536102583,100.05638758075025,100.06036916782107,99.12537142469547,100.35745996063216,22.99999999999999,100.0,0.7664295532516695,0.39668842000000004,0.0017541993087226628,0.003542794914357705,0.0,70.60575657184765
16,99.97388834514528,99.35388536102582,99.35388536102583,100.05638758075025,100.06036916782107,99.12537142469547,100.35745996063216,22.99999999999999,100.0,0.7664295532516695,0.39668842000000004,0.0017541993087226628,0.003542794914357705,0.0,70.60575657184765
17,100.07719565982246,99.61659611994149,99.61659611994149,99.68653756155027,100.04823491579398,98.45401933993297,101.04179149344051,19.999999999999986,78.143069561975,0.8891898474133981,0.27133487928000005,0.001861506046702944,0.0021618168488332277,0.0,43.143069561975
18,100.13557486812107,99.23917737579623,99.23917737579625,99.36857650376871,100.18645612028992,99.57499305770754,100.56035159699358,13.999999999999988,100.0,1.4884164549130066,0.19881072364491523,0.0023025802393220308,0.0047500350275295295,0.0,94.55157724675978
19,100.11344546636744,99.23917737579623,99.23917737579625,99.86733867300558,100.18645612028992,99.57499305770754,100.56035159699358,13.999999999999988,100.0,1.4884164549130066,0.19881072364491523,0.0023025802393220308,0.0047500350275295295,0.0,94.55157724675978
20,100.0115430175656,99.23917737579623,99.23917737579625,99.86733867300558,100.18645612028992,99.57499305770754,100.56035159699358,13.999999999999988,100.0,1.4884164549130066,0.19881072364491523,0.0023025802393220308,0.0047500350275295295,0.0,94.55157724675978
21,99.98132429804349,99.23917737579623,99.23917737579625,99.77695354406453,100.18645612028992,99.57499305770754,100.56035159699358,13.999999999999988,100.0,1.4884164549130066,0.19881072364491523,0.0023025802393220308,0.0047500350275295295,0.0,94.55157724675978
22,99.88417390966177,100.08482747673625,100.08482747673625,100.79249797404651,100.18285412814471,98.47444344794938,101.68421329991058,13.999999999999988,100.0,1.3893431385199662,0.1789296512804237,0.002223162805922994,0.0004894781355778323,0.0,9.784773278975756
23,99.92738125027716,100.06747571627996,100.06747571627996,100.22806544661702,100.20239100722247,99.92738125027716,101.07825829927269,13.999999999999988,100.0,1.358195687438369,0.26103668615238135,0.0021706131441053965,0.0006736674525717375,0.0,13.464278605167523
24,99.75791687241569,99.89777375567363,99.89777375567363,100.05809114585324,100.0622058123457,99.75791687241569,100.90684217744811,13.999999999999988,100.0,1.3295400324432995,0.3349330175371432,0.002139055357582174,0.0008223248323354258,0.0,16.432983396392764
25,100.03476597428987,99.89777375567363,99.89777375567363,100.08746109149455,100.0622058123457,99.75791687241569,100.90684217744811,13.999999999999988,100.0,1.3295400324432995,0.3349330175371432,0.002139055357582174,0.0008223248323354258,0.0,16.432983396392764
